,装备名称,使用者类别,装备类别,升阶级别,强化级别,装备描述,附加物攻,附加魔攻,附加物防,附加魔防,附加hp,附加mp
id,Equipment_name,Equipment_user,Equipment_type,Equipment_rank,Equipment_level,Equipment_describtion,Equipment_att,Equipment_maatt,Equipment_def,Equipment_madef,Equipment_hp,Equipment_mp
3001,木剑,1,1,不可升阶,不可强化,新手装,1,0,0,0,0,0
3002,木弓,2,1,不可升阶,不可强化,新手装,1,0,0,0,0,0
3003,木棍,3,1,不可升阶,不可强化,新手装,0,1,0,0,0,0
3004,木杖,4,1,不可升阶,不可强化,新手装,0,1,0,0,0,0
3005,流光,1,1,1,1,成长性武器,6,0,0,0,0,0
3006,流光,1,1,1,2,成长性武器,7,0,0,0,0,0
3007,流光,1,1,1,3,成长性武器,8,0,0,0,0,0
3008,流光,1,1,1,4,成长性武器,9,0,0,0,0,0
3009,流光,1,1,1,5,成长性武器,10,0,0,0,0,0
3010,流光,1,1,1,6,成长性武器,11,0,0,0,0,0
3011,流光,1,1,1,7,成长性武器,12,0,0,0,0,0
3012,流光,1,1,1,8,成长性武器,13,0,0,0,0,0
3013,流光,1,1,1,9,成长性武器,14,0,0,0,0,0
3014,流光,1,1,1,10,成长性武器,15,0,0,0,0,0
3015,流光,1,1,2,1,成长性武器,22,0,0,0,0,0
3016,流光,1,1,2,2,成长性武器,23,0,0,0,0,0
3017,流光,1,1,2,3,成长性武器,24,0,0,0,0,0
3018,流光,1,1,2,4,成长性武器,25,0,0,0,0,0
3019,流光,1,1,2,5,成长性武器,26,0,0,0,0,0
3020,流光,1,1,2,6,成长性武器,27,0,0,0,0,0
3021,流光,1,1,2,7,成长性武器,28,0,0,0,0,0
3022,流光,1,1,2,8,成长性武器,29,0,0,0,0,0
3023,流光,1,1,2,9,成长性武器,30,0,0,0,0,0
3024,流光,1,1,2,10,成长性武器,31,0,0,0,0,0
3025,流光,1,1,3,1,成长性武器,39,0,0,0,0,0
3026,流光,1,1,3,2,成长性武器,40,0,0,0,0,0
3027,流光,1,1,3,3,成长性武器,41,0,0,0,0,0
3028,流光,1,1,3,4,成长性武器,42,0,0,0,0,0
3029,流光,1,1,3,5,成长性武器,43,0,0,0,0,0
3030,流光,1,1,3,6,成长性武器,44,0,0,0,0,0
3031,流光,1,1,3,7,成长性武器,45,0,0,0,0,0
3032,流光,1,1,3,8,成长性武器,46,0,0,0,0,0
3033,流光,1,1,3,9,成长性武器,47,0,0,0,0,0
3034,流光,1,1,3,10,成长性武器,48,0,0,0,0,0
3035,天弧,2,1,1,1,成长性武器,6,0,0,0,0,0
3036,天弧,2,1,1,2,成长性武器,7,0,0,0,0,0
3037,天弧,2,1,1,3,成长性武器,8,0,0,0,0,0
3038,天弧,2,1,1,4,成长性武器,10,0,0,0,0,0
3039,天弧,2,1,1,5,成长性武器,12,0,0,0,0,0
3040,天弧,2,1,1,6,成长性武器,14,0,0,0,0,0
3041,天弧,2,1,1,7,成长性武器,16,0,0,0,0,0
3042,天弧,2,1,1,8,成长性武器,18,0,0,0,0,0
3043,天弧,2,1,1,9,成长性武器,20,0,0,0,0,0
3044,天弧,2,1,1,10,成长性武器,22,0,0,0,0,0
3045,天弧,2,1,2,1,成长性武器,26,0,0,0,0,0
3046,天弧,2,1,2,2,成长性武器,27,0,0,0,0,0
3047,天弧,2,1,2,3,成长性武器,28,0,0,0,0,0
3048,天弧,2,1,2,4,成长性武器,30,0,0,0,0,0
3049,天弧,2,1,2,5,成长性武器,32,0,0,0,0,0
3050,天弧,2,1,2,6,成长性武器,34,0,0,0,0,0
3051,天弧,2,1,2,7,成长性武器,36,0,0,0,0,0
3052,天弧,2,1,2,8,成长性武器,38,0,0,0,0,0
3053,天弧,2,1,2,9,成长性武器,40,0,0,0,0,0
3054,天弧,2,1,2,10,成长性武器,44,0,0,0,0,0
3055,天弧,2,1,3,1,成长性武器,48,0,0,0,0,0
3056,天弧,2,1,3,2,成长性武器,49,0,0,0,0,0
3057,天弧,2,1,3,3,成长性武器,50,0,0,0,0,0
3058,天弧,2,1,3,4,成长性武器,52,0,0,0,0,0
3059,天弧,2,1,3,5,成长性武器,54,0,0,0,0,0
3060,天弧,2,1,3,6,成长性武器,56,0,0,0,0,0
3061,天弧,2,1,3,7,成长性武器,58,0,0,0,0,0
3062,天弧,2,1,3,8,成长性武器,60,0,0,0,0,0
3063,天弧,2,1,3,9,成长性武器,62,0,0,0,0,0
3064,天弧,2,1,3,10,成长性武器,64,0,0,0,0,0
